blk_height,deanon_ratio
1000,0.35714285714285715
2000,0.46153846153846156
3000,0.3502202643171806
4000,0.2914012738853503
5000,0.2852941176470588
6000,0.5210918114143921
7000,0.6592512208355942
8000,0.7553879310344828
9000,0.8493662996052358
10000,0.8515655965120887
11000,0.5793682526989204
12000,0.6869938065745593
13000,0.7306479859894921
14000,0.7481540610656555
15000,0.76321421924437
16000,0.6917942677659992
17000,0.6393865439014921
18000,0.6386696574450998
19000,0.6522665124106016
20000,0.6599549134132595
21000,0.7072664359861591
22000,0.7234590429845904
23000,0.7401059402194476
24000,0.7149910307259352
25000,0.7130271930481684
26000,0.7258556655483301
27000,0.7368077592384072
28000,0.6941271118262269
29000,0.7131698222379376
30000,0.7204891190049373
31000,0.7206251799775587
32000,0.7439854181229373
33000,0.7560356516850216
34000,0.7656727170219096
35000,0.7655053862021545
36000,0.8218356980006514
37000,0.82951254890836
38000,0.8301223376394384
39000,0.832585843722599
40000,0.8346624525053287
41000,0.8392083226644665
42000,0.8374039492088866
43000,0.8435544539765933
44000,0.8422949796251715
45000,0.8415870762615131
46000,0.845443150574155
47000,0.8462609821650393
48000,0.8541450346804004
49000,0.8554529168626588
50000,0.8579868262480312
51000,0.8605201456160918
52000,0.8641718560865698
53000,0.869554416253078
54000,0.8733107461185139
55000,0.8765074249634741
56000,0.8821381403351318
57000,0.8848749841651887
58000,0.8926669639930576
59000,0.8992923986339253
60000,0.9044437104601235
61000,0.907461478625928
62000,0.9110257192455907
63000,0.9134583288062509
64000,0.9152223567475175
65000,0.9185028487549097
66000,0.9192423403066594
67000,0.9214987232258338
68000,0.92326785278846
69000,0.9247654544232466
70000,0.9256240140218732
71000,0.9262912249157104
72000,0.9292988616341985
73000,0.9318334533237341
74000,0.9344189210144213
75000,0.9361479597467447
76000,0.9376146334209091
77000,0.9397507650696499
78000,0.9421646751392043
79000,0.9442916636774777
80000,0.9462985833534996
81000,0.9477025996598827
82000,0.949724956042397
83000,0.9513507360519313
84000,0.9536368077338407
85000,0.9552607690511878
86000,0.9574821865167246
87000,0.9594155074344853
88000,0.9613141718426595
89000,0.9623075346586364
90000,0.9631832682358235
91000,0.9638898319488013
92000,0.9646751016638709
93000,0.9651945393914295
94000,0.9657166692712882
95000,0.9665732265126982
96000,0.9674806165882669
97000,0.9681155090125312
98000,0.9686375264552274
99000,0.9694720208787079
100000,0.9698592932920354
101000,0.9701148802515039
102000,0.9701406529718468
103000,0.9705136507912602
104000,0.970740670207876
105000,0.9709808432601342
106000,0.9712042689187607
107000,0.9714103775349282
108000,0.9716085248172741
109000,0.9718427012656566
110000,0.9720240272131808
111000,0.9721525947389551
112000,0.9724143589389275
113000,0.9726627953657216
114000,0.9728580056117827
115000,0.973015348696636
116000,0.9731516457158459
117000,0.9732842681293443
118000,0.9734489529426172
119000,0.973635682244858
120000,0.9738525289338987
121000,0.9739217553199211
122000,0.9740266051728899
123000,0.9741270405831673
124000,0.9741456239997556
125000,0.9742323381907584
126000,0.9742406677727623
127000,0.9743565725420341
128000,0.97435833849969
129000,0.9743984165278715
130000,0.9745191204225205
131000,0.9746221230140121
132000,0.9748469562638056
133000,0.9748450288435268
134000,0.9749979901727873
135000,0.9750909362603534
136000,0.9751443666385409
137000,0.9751332504920761
138000,0.9751316263940237
139000,0.9750848366816922
140000,0.9751674371374845
141000,0.9752229606241181
142000,0.9752250484874663
143000,0.9752276347437424
144000,0.9752311732425785
145000,0.9751669434616056
146000,0.9751862968444645
147000,0.9751705387052564
148000,0.9751681848145592
149000,0.9751752663803793
150000,0.975215565957358
151000,0.9753132824796252
152000,0.9753048359489654
153000,0.9753640291563539
154000,0.975433771148427
155000,0.9754798639093042
156000,0.9754780435522968
157000,0.9753648298554933
158000,0.9753101133705162
159000,0.9752331961942627
160000,0.9751535513182306
161000,0.9750995860027668
162000,0.9749383290197348
163000,0.9748648895183988
164000,0.9748149941323963
165000,0.9747770829584756
166000,0.9747335664339826
167000,0.9747163796975861
168000,0.9746189612802979
169000,0.9745386355413792
170000,0.9744563470756779
171000,0.9743918150141954
172000,0.9742130695930994
173000,0.9738531118744622
174000,0.9735062736789489
175000,0.9731481666394739
176000,0.9729950609854642
177000,0.9729238416474347
178000,0.9728181087297983
179000,0.972779328280868
180000,0.9726277661516048
181000,0.9725324396870332
182000,0.9725011557954053
183000,0.9723682054794868
184000,0.9722749603084926
185000,0.9721711286831896
186000,0.9720047730737531
187000,0.9703962522777301
188000,0.970378934922572
189000,0.9703953512850336
190000,0.9704254110840758
191000,0.9704333091278066
192000,0.9704494061035889
193000,0.9704315910591225
194000,0.9704249050241469
195000,0.9704715247422137
196000,0.9704725765265794
197000,0.9705280257300436
198000,0.9705817218159712
199000,0.9705694058185765
200000,0.9705470576207638
201000,0.9705953015121785
202000,0.9691085360066635
203000,0.9655689495929369
204000,0.9655413136747947
205000,0.9655960583248987
206000,0.965593311006808
207000,0.9656159497700748
208000,0.9656571216483496
209000,0.965695429476149
210000,0.9656995843658865
211000,0.9657558751264795
212000,0.965815653443741
213000,0.9658294307016081
214000,0.965854589747919
215000,0.9658530390855382
216000,0.9658631286368112
217000,0.9659020283943384
218000,0.9659084136911664
219000,0.9659062618292794
220000,0.9658035487202139
221000,0.9657489594928284
222000,0.9657905974610815
223000,0.9656599895927648
224000,0.9655551220366103
225000,0.9655301057969494
226000,0.965292447204641
227000,0.9650771675995515
228000,0.9649631871317002
229000,0.9649332046580611
230000,0.9649007794439868
231000,0.9647442368207585
232000,0.9646072964436347
233000,0.9645431115777515
234000,0.9645339410450151
